,disease,disease_label_doid,taxon_doid,taxon_label_doid,symptom,symptom_label,tax_id
32,http://purl.obolibrary.org/obo/DOID_0050480,epidemic typhus,http://purl.obolibrary.org/obo/NCBITaxon_782,Rickettsia prowazekii,,,782
33,http://purl.obolibrary.org/obo/DOID_11265,trachoma,http://purl.obolibrary.org/obo/NCBITaxon_813,Chlamydia trachomatis,,,813
34,http://purl.obolibrary.org/obo/DOID_0050495,exanthema subitum,http://purl.obolibrary.org/obo/NCBITaxon_10372,Human herpesvirus 7,,,10372
35,http://purl.obolibrary.org/obo/DOID_0050495,exanthema subitum,http://purl.obolibrary.org/obo/NCBITaxon_10368,Human herpesvirus 6,,,10368
36,http://purl.obolibrary.org/obo/DOID_9537,Lassa fever,http://purl.obolibrary.org/obo/NCBITaxon_11620,Lassa mammarenavirus,,,11620
37,http://purl.obolibrary.org/obo/DOID_12403,tinea pedis,http://purl.obolibrary.org/obo/NCBITaxon_34390,Epidermophyton,,,34390
38,http://purl.obolibrary.org/obo/DOID_12403,tinea pedis,http://purl.obolibrary.org/obo/NCBITaxon_5550,Trichophyton,,,5550
39,http://purl.obolibrary.org/obo/DOID_0050141,intestinal botulism,http://purl.obolibrary.org/obo/NCBITaxon_36830,Clostridium botulinum E,,,36830
40,http://purl.obolibrary.org/obo/DOID_0050141,intestinal botulism,http://purl.obolibrary.org/obo/NCBITaxon_36827,Clostridium botulinum B,,,36827
41,http://purl.obolibrary.org/obo/DOID_0050141,intestinal botulism,http://purl.obolibrary.org/obo/NCBITaxon_36831,Clostridium botulinum F,,,36831
42,http://purl.obolibrary.org/obo/DOID_0050141,intestinal botulism,http://purl.obolibrary.org/obo/NCBITaxon_36826,Clostridium botulinum A,,,36826
43,http://purl.obolibrary.org/obo/DOID_8632,Kaposi's sarcoma,http://purl.obolibrary.org/obo/NCBITaxon_37296,Human herpesvirus 8,,,37296
44,http://purl.obolibrary.org/obo/DOID_11165,common wart,http://purl.obolibrary.org/obo/NCBITaxon_173087,Human papillomavirus types,,,173087
45,http://purl.obolibrary.org/obo/DOID_11165,common wart,http://purl.obolibrary.org/obo/NCBITaxon_169495,This,,,169495
46,http://purl.obolibrary.org/obo/DOID_10784,Queensland tick typhus,http://purl.obolibrary.org/obo/NCBITaxon_787,Rickettsia australis,,,787
47,http://purl.obolibrary.org/obo/DOID_11101,trench fever,http://purl.obolibrary.org/obo/NCBITaxon_803,Bartonella quintana,,,803
48,http://purl.obolibrary.org/obo/DOID_526,human immunodeficiency virus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11709,Human immunodeficiency virus 2,,,11709
49,http://purl.obolibrary.org/obo/DOID_526,human immunodeficiency virus infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_11676,Human immunodeficiency virus 1,,,11676
50,http://purl.obolibrary.org/obo/DOID_0050199,Whitewater Arroyo hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_46919,Whitewater Arroyo mammarenavirus,,,46919
51,http://purl.obolibrary.org/obo/DOID_0050105,endothrix infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_4890,Ascomycota,,,4890
52,http://purl.obolibrary.org/obo/DOID_0050105,endothrix infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
53,http://purl.obolibrary.org/obo/DOID_0050143,asymptomatic dengue,http://purl.obolibrary.org/obo/NCBITaxon_12637,Dengue virus,,,12637
54,http://purl.obolibrary.org/obo/DOID_0050143,asymptomatic dengue,http://purl.obolibrary.org/obo/NCBITaxon_11053,Dengue virus 1,,,11053
55,http://purl.obolibrary.org/obo/DOID_10921,Siberian tick typhus,http://purl.obolibrary.org/obo/NCBITaxon_35793,Rickettsia sibirica,,,35793
56,http://purl.obolibrary.org/obo/DOID_10881,"hand, foot and mouth disease",http://purl.obolibrary.org/obo/NCBITaxon_39054,Enterovirus A71,,,39054
57,http://purl.obolibrary.org/obo/DOID_10881,"hand, foot and mouth disease",http://purl.obolibrary.org/obo/NCBITaxon_31704,Coxsackievirus A16,,,31704
58,http://purl.obolibrary.org/obo/DOID_0050133,superficial mycosis,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
59,http://purl.obolibrary.org/obo/DOID_14095,boutonneuse fever,http://purl.obolibrary.org/obo/NCBITaxon_781,Rickettsia conorii,,,781
60,http://purl.obolibrary.org/obo/DOID_12205,dengue disease,http://purl.obolibrary.org/obo/NCBITaxon_11053,Dengue virus 1,,,11053
61,http://purl.obolibrary.org/obo/DOID_12205,dengue disease,http://purl.obolibrary.org/obo/NCBITaxon_12637,Dengue virus,,,12637
62,http://purl.obolibrary.org/obo/DOID_13819,lymphogranuloma venereum,http://purl.obolibrary.org/obo/NCBITaxon_813,Chlamydia trachomatis,,,813
63,http://purl.obolibrary.org/obo/DOID_0050522,Balkan hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_12506,Dobrava-Belgrade virus,,,12506
64,http://purl.obolibrary.org/obo/DOID_13386,gastrointestinal anthrax,http://purl.obolibrary.org/obo/NCBITaxon_1392,Bacillus anthracis,,,1392
65,http://purl.obolibrary.org/obo/DOID_4952,postpoliomyelitis syndrome,http://purl.obolibrary.org/obo/NCBITaxon_12083,Human poliovirus 2,,,12083
66,http://purl.obolibrary.org/obo/DOID_4952,postpoliomyelitis syndrome,http://purl.obolibrary.org/obo/NCBITaxon_12080,Human poliovirus 1,,,12080
67,http://purl.obolibrary.org/obo/DOID_4952,postpoliomyelitis syndrome,http://purl.obolibrary.org/obo/NCBITaxon_12086,Human poliovirus 3,,,12086
68,http://purl.obolibrary.org/obo/DOID_2929,Newcastle disease,http://purl.obolibrary.org/obo/NCBITaxon_11176,Newcastle disease virus,,,11176
69,http://purl.obolibrary.org/obo/DOID_2832,geotrichosis,http://purl.obolibrary.org/obo/NCBITaxon_27317,Geotrichum candidum [NCBITaxon:27317],,,27317
70,http://purl.obolibrary.org/obo/DOID_0050596,taeniasis,http://purl.obolibrary.org/obo/NCBITaxon_6206,Taenia saginata,,,6206
71,http://purl.obolibrary.org/obo/DOID_0050596,taeniasis,http://purl.obolibrary.org/obo/NCBITaxon_6204,Taenia solium,,,6204
72,http://purl.obolibrary.org/obo/DOID_12662,paracoccidioidomycosis,http://purl.obolibrary.org/obo/NCBITaxon_121759,Paracoccidioides brasiliensis,,,121759
73,http://purl.obolibrary.org/obo/DOID_11227,acute hemorrhagic conjunctivitis,http://purl.obolibrary.org/obo/NCBITaxon_12090,Human enterovirus 70,,,12090
74,http://purl.obolibrary.org/obo/DOID_11227,acute hemorrhagic conjunctivitis,http://purl.obolibrary.org/obo/NCBITaxon_12089,Coxsackievirus A24,,,12089
75,http://purl.obolibrary.org/obo/DOID_0050097,ectothrix infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_63418,Trichophyton equinum,,,63418
76,http://purl.obolibrary.org/obo/DOID_0050097,ectothrix infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_63417,Trichophyton verrucosum,,,63417
77,http://purl.obolibrary.org/obo/DOID_0050398,Carrion's disease,http://purl.obolibrary.org/obo/NCBITaxon_774,Bartonella bacilliformis,,,774
78,http://purl.obolibrary.org/obo/DOID_4327,Marburg hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_186537,Marburgvirus,,,186537
79,http://purl.obolibrary.org/obo/DOID_10842,Murray Valley encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11079,Murray Valley encephalitis virus,,,11079
80,http://purl.obolibrary.org/obo/DOID_2934,aleutian mink disease,http://purl.obolibrary.org/obo/NCBITaxon_28314,Aleutian mink disease virus,,,28314
81,http://purl.obolibrary.org/obo/DOID_9786,bulbar polio,http://purl.obolibrary.org/obo/NCBITaxon_12086,Human poliovirus 3,,,12086
82,http://purl.obolibrary.org/obo/DOID_9786,bulbar polio,http://purl.obolibrary.org/obo/NCBITaxon_12080,Human poliovirus 1,,,12080
83,http://purl.obolibrary.org/obo/DOID_9786,bulbar polio,http://purl.obolibrary.org/obo/NCBITaxon_12083,Human poliovirus 2,,,12083
84,http://purl.obolibrary.org/obo/DOID_0050198,Chapare hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_499556,Chapare mammarenavirus,,,499556
85,http://purl.obolibrary.org/obo/DOID_9123,eczema herpeticum,http://purl.obolibrary.org/obo/NCBITaxon_10298,Human herpesvirus 1,,,10298
86,http://purl.obolibrary.org/obo/DOID_9123,eczema herpeticum,http://purl.obolibrary.org/obo/NCBITaxon_10310,Human herpesvirus 2,,,10310
87,http://purl.obolibrary.org/obo/DOID_8704,genital herpes,http://purl.obolibrary.org/obo/NCBITaxon_10298,Human herpesvirus 1,,,10298
88,http://purl.obolibrary.org/obo/DOID_8704,genital herpes,http://purl.obolibrary.org/obo/NCBITaxon_10310,Human herpesvirus 2,,,10310
89,http://purl.obolibrary.org/obo/DOID_13074,tinea unguium,http://purl.obolibrary.org/obo/NCBITaxon_4890,Ascomycota,,,4890
90,http://purl.obolibrary.org/obo/DOID_13074,tinea unguium,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
91,http://purl.obolibrary.org/obo/DOID_13800,inclusion conjunctivitis,http://purl.obolibrary.org/obo/NCBITaxon_813,Chlamydia trachomatis,,,813
92,http://purl.obolibrary.org/obo/DOID_14472,hantavirus pulmonary syndrome,http://purl.obolibrary.org/obo/NCBITaxon_37962,Bayou virus,,,37962
93,http://purl.obolibrary.org/obo/DOID_14472,hantavirus pulmonary syndrome,http://purl.obolibrary.org/obo/NCBITaxon_46607,Andes virus,,,46607
94,http://purl.obolibrary.org/obo/DOID_14472,hantavirus pulmonary syndrome,http://purl.obolibrary.org/obo/NCBITaxon_37705,Sin Nombre virus,,,37705
95,http://purl.obolibrary.org/obo/DOID_14472,hantavirus pulmonary syndrome,http://purl.obolibrary.org/obo/NCBITaxon_61172,Laguna Negra virus,,,61172
96,http://purl.obolibrary.org/obo/DOID_8736,smallpox,http://purl.obolibrary.org/obo/NCBITaxon_10255,Variola virus,,,10255
97,http://purl.obolibrary.org/obo/DOID_7427,anthrax disease,http://purl.obolibrary.org/obo/NCBITaxon_1392,Bacillus anthracis,,,1392
98,http://purl.obolibrary.org/obo/DOID_0050292,primary systemic mycosis,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
99,http://purl.obolibrary.org/obo/DOID_9113,granuloma inguinale,http://purl.obolibrary.org/obo/NCBITaxon_39824,Klebsiella granulomatis,,,39824
100,http://purl.obolibrary.org/obo/DOID_0050354,infant botulism,http://purl.obolibrary.org/obo/NCBITaxon_36827,Clostridium botulinum B,,,36827
101,http://purl.obolibrary.org/obo/DOID_0050354,infant botulism,http://purl.obolibrary.org/obo/NCBITaxon_36826,Clostridium botulinum A,,,36826
102,http://purl.obolibrary.org/obo/DOID_0050353,wound botulism,http://purl.obolibrary.org/obo/NCBITaxon_36827,Clostridium botulinum B,,,36827
103,http://purl.obolibrary.org/obo/DOID_0050353,wound botulism,http://purl.obolibrary.org/obo/NCBITaxon_36826,Clostridium botulinum A,,,36826
104,http://purl.obolibrary.org/obo/DOID_0050353,wound botulism,http://purl.obolibrary.org/obo/NCBITaxon_36831,Clostridium botulinum F,,,36831
105,http://purl.obolibrary.org/obo/DOID_0050353,wound botulism,http://purl.obolibrary.org/obo/NCBITaxon_36830,Clostridium botulinum E,,,36830
106,http://purl.obolibrary.org/obo/DOID_4885,Colorado tick fever,http://purl.obolibrary.org/obo/NCBITaxon_46839,Colorado tick fever virus,,,46839
107,http://purl.obolibrary.org/obo/DOID_0050204,Epstein-Barr virus hepatitis,http://purl.obolibrary.org/obo/NCBITaxon_10376,Human herpesvirus 4,,,10376
108,http://purl.obolibrary.org/obo/DOID_0050196,Venezuelan hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_45219,Guanarito mammarenavirus,,,45219
109,http://purl.obolibrary.org/obo/DOID_12549,hepatitis A,http://purl.obolibrary.org/obo/NCBITaxon_12092,Hepatitis A virus,,,12092
110,http://purl.obolibrary.org/obo/DOID_0050517,Barmah Forest virus disease,http://purl.obolibrary.org/obo/NCBITaxon_11020,Barmah Forest virus,,,11020
111,http://purl.obolibrary.org/obo/DOID_0050050,Japanese spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_35790,Rickettsia japonica,,,35790
112,http://purl.obolibrary.org/obo/DOID_1883,hepatitis C,http://purl.obolibrary.org/obo/NCBITaxon_11103,Hepatitis C virus,,,11103
113,http://purl.obolibrary.org/obo/DOID_10458,legionellosis,http://purl.obolibrary.org/obo/NCBITaxon_446,Legionella pneumophila,,,446
114,http://purl.obolibrary.org/obo/DOID_11917,tinea cruris,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
115,http://purl.obolibrary.org/obo/DOID_11917,tinea cruris,http://purl.obolibrary.org/obo/NCBITaxon_4890,Ascomycota,,,4890
116,http://purl.obolibrary.org/obo/DOID_11266,hemorrhagic fever with renal syndrome,http://purl.obolibrary.org/obo/NCBITaxon_12506,Dobrava-Belgrade virus,,,12506
117,http://purl.obolibrary.org/obo/DOID_11266,hemorrhagic fever with renal syndrome,http://purl.obolibrary.org/obo/NCBITaxon_11604,Puumala virus,,,11604
118,http://purl.obolibrary.org/obo/DOID_11266,hemorrhagic fever with renal syndrome,http://purl.obolibrary.org/obo/NCBITaxon_11608,Seoul virus,,,11608
119,http://purl.obolibrary.org/obo/DOID_11266,hemorrhagic fever with renal syndrome,http://purl.obolibrary.org/obo/NCBITaxon_11599,Hantaan virus,,,11599
120,http://purl.obolibrary.org/obo/DOID_0050051,Rickettsia parkeri spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_35792,Rickettsia parkeri,,,35792
121,http://purl.obolibrary.org/obo/DOID_0050194,Argentine hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_11619,Junin mammarenavirus,,,11619
122,http://purl.obolibrary.org/obo/DOID_635,acquired immunodeficiency syndrome,http://purl.obolibrary.org/obo/NCBITaxon_11676,Human immunodeficiency virus 1,,,11676
123,http://purl.obolibrary.org/obo/DOID_635,acquired immunodeficiency syndrome,http://purl.obolibrary.org/obo/NCBITaxon_11709,Human immunodeficiency virus 2,,,11709
124,http://purl.obolibrary.org/obo/DOID_9065,leishmaniasis,http://purl.obolibrary.org/obo/NCBITaxon_5658,Leishmania,,,5658
125,http://purl.obolibrary.org/obo/DOID_0050116,tinea imbricata,http://purl.obolibrary.org/obo/NCBITaxon_63419,Trichophyton concentricum,,,63419
126,http://purl.obolibrary.org/obo/DOID_11320,Kyasanur forest disease,http://purl.obolibrary.org/obo/NCBITaxon_33743,Kyasanur forest disease virus,,,33743
127,http://purl.obolibrary.org/obo/DOID_934,viral infectious disease,http://purl.obolibrary.org/obo/NCBITaxon_10239,Viruses,,,10239
128,http://purl.obolibrary.org/obo/DOID_11258,cat-scratch disease,http://purl.obolibrary.org/obo/NCBITaxon_56426,Bartonella clarridgeiae,,,56426
129,http://purl.obolibrary.org/obo/DOID_11258,cat-scratch disease,http://purl.obolibrary.org/obo/NCBITaxon_38323,Bartonella henselae,,,38323
130,http://purl.obolibrary.org/obo/DOID_9584,Venezuelan equine encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11036,Venezuelan equine encephalitis virus,,,11036
131,http://purl.obolibrary.org/obo/DOID_13450,coccidioidomycosis,http://purl.obolibrary.org/obo/NCBITaxon_5501,Coccidioides immitis,,,5501
132,http://purl.obolibrary.org/obo/DOID_13778,chancroid,http://purl.obolibrary.org/obo/NCBITaxon_730,[Haemophilus] ducreyi,,,730
133,http://purl.obolibrary.org/obo/DOID_399,tuberculosis,http://purl.obolibrary.org/obo/NCBITaxon_1773,Mycobacterium tuberculosis,,,1773
134,http://purl.obolibrary.org/obo/DOID_11338,tetanus,http://purl.obolibrary.org/obo/NCBITaxon_1513,Clostridium tetani,,,1513
135,http://purl.obolibrary.org/obo/DOID_0050061,erysipeloid,http://purl.obolibrary.org/obo/NCBITaxon_1648,Erysipelothrix rhusiopathiae,,,1648
136,http://purl.obolibrary.org/obo/DOID_0050118,La Crosse encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11577,La Crosse virus,,,11577
137,http://purl.obolibrary.org/obo/DOID_4271,microsporidiosis,http://purl.obolibrary.org/obo/NCBITaxon_6029,Microsporidia,,,6029
138,http://purl.obolibrary.org/obo/DOID_4270,encephalitozoonosis,http://purl.obolibrary.org/obo/NCBITaxon_27973,Encephalitozoon hellem,,,27973
139,http://purl.obolibrary.org/obo/DOID_4270,encephalitozoonosis,http://purl.obolibrary.org/obo/NCBITaxon_6035,Encephalitozoon cuniculi,,,6035
140,http://purl.obolibrary.org/obo/DOID_4270,encephalitozoonosis,http://purl.obolibrary.org/obo/NCBITaxon_58839,Encephalitozoon intestinalis,,,58839
141,http://purl.obolibrary.org/obo/DOID_992,Omsk hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_12542,Omsk hemorrhagic fever virus,,,12542
142,http://purl.obolibrary.org/obo/DOID_8771,contagious pustular dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_10258,Orf virus,,,10258
143,http://purl.obolibrary.org/obo/DOID_0050200,Korean hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_11599,Hantaan virus,,,11599
144,http://purl.obolibrary.org/obo/DOID_0050200,Korean hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_11608,Seoul virus,,,11608
145,http://purl.obolibrary.org/obo/DOID_2297,leptospirosis,http://purl.obolibrary.org/obo/NCBITaxon_171,Leptospira,,,171
146,http://purl.obolibrary.org/obo/DOID_0050041,Astrakhan spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_127007,Rhipicephalus pumilio,,,127007
147,http://purl.obolibrary.org/obo/DOID_0050041,Astrakhan spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_34632,Rhipicephalus sanguineus,,,34632
148,http://purl.obolibrary.org/obo/DOID_0050041,Astrakhan spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_781,Rickettsia conorii,,,781
149,http://purl.obolibrary.org/obo/DOID_13801,pharyngoconjunctival fever,http://purl.obolibrary.org/obo/NCBITaxon_45659,Human adenovirus 3,,,45659
150,http://purl.obolibrary.org/obo/DOID_13801,pharyngoconjunctival fever,http://purl.obolibrary.org/obo/NCBITaxon_10519,Human adenovirus 7,,,10519
151,http://purl.obolibrary.org/obo/DOID_11360,Phlebotomus fever,http://purl.obolibrary.org/obo/NCBITaxon_28292,Sandfly fever Sicilian virus,,,28292
152,http://purl.obolibrary.org/obo/DOID_11360,Phlebotomus fever,http://purl.obolibrary.org/obo/NCBITaxon_206160,Sandfly fever Naples virus,,,206160
153,http://purl.obolibrary.org/obo/DOID_10264,mumps,http://purl.obolibrary.org/obo/NCBITaxon_11161,Mumps virus,,,11161
154,http://purl.obolibrary.org/obo/DOID_1116,pertussis,http://purl.obolibrary.org/obo/NCBITaxon_519,Bordetella parapertussis,,,519
155,http://purl.obolibrary.org/obo/DOID_1116,pertussis,http://purl.obolibrary.org/obo/NCBITaxon_520,Bordetella pertussis,,,520
156,http://purl.obolibrary.org/obo/DOID_11103,rickettsialpox,http://purl.obolibrary.org/obo/NCBITaxon_786,Rickettsia akari,,,786
157,http://purl.obolibrary.org/obo/DOID_0050523,adult T-cell leukemia,http://purl.obolibrary.org/obo/NCBITaxon_11908,Human T-lymphotropic virus 1,,,11908
158,http://purl.obolibrary.org/obo/DOID_0050518,Ross River fever,http://purl.obolibrary.org/obo/NCBITaxon_11029,Ross River virus,,,11029
159,http://purl.obolibrary.org/obo/DOID_0050175,tick-borne encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11084,Tick-borne encephalitis virus,,,11084
160,http://purl.obolibrary.org/obo/DOID_12287,Crimean-Congo hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_11593,Crimean-Congo hemorrhagic fever virus,,,11593
161,http://purl.obolibrary.org/obo/DOID_9210,geniculate herpes zoster,http://purl.obolibrary.org/obo/NCBITaxon_10335,Human herpesvirus 3,,,10335
162,http://purl.obolibrary.org/obo/DOID_10882,epidemic pleurodynia,http://purl.obolibrary.org/obo/NCBITaxon_138949,Enterovirus B,,,138949
163,http://purl.obolibrary.org/obo/DOID_8536,herpes zoster,http://purl.obolibrary.org/obo/NCBITaxon_10335,Human herpesvirus 3,,,10335
164,http://purl.obolibrary.org/obo/DOID_8568,infectious mononucleosis,http://purl.obolibrary.org/obo/NCBITaxon_10376,Human herpesvirus 4,,,10376
165,http://purl.obolibrary.org/obo/DOID_9965,toxoplasmosis,http://purl.obolibrary.org/obo/NCBITaxon_5811,Toxoplasma gondii,,,5811
166,http://purl.obolibrary.org/obo/DOID_8970,subacute sclerosing panencephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11234,Measles virus,,,11234
167,http://purl.obolibrary.org/obo/DOID_8607,herpetic whitlow,http://purl.obolibrary.org/obo/NCBITaxon_10310,Human herpesvirus 2,,,10310
168,http://purl.obolibrary.org/obo/DOID_8607,herpetic whitlow,http://purl.obolibrary.org/obo/NCBITaxon_10298,Human herpesvirus 1,,,10298
169,http://purl.obolibrary.org/obo/DOID_0050035,African tick-bite fever,http://purl.obolibrary.org/obo/NCBITaxon_35788,Rickettsia africae,,,35788
170,http://purl.obolibrary.org/obo/DOID_0050484,aneruptive fever,http://purl.obolibrary.org/obo/NCBITaxon_35789,Rickettsia helvetica,,,35789
171,http://purl.obolibrary.org/obo/DOID_0050072,adiaspiromycosis,http://purl.obolibrary.org/obo/NCBITaxon_73230,Emmonsia crescens,,,73230
172,http://purl.obolibrary.org/obo/DOID_0050072,adiaspiromycosis,http://purl.obolibrary.org/obo/NCBITaxon_41283,Chrysosporium parvum,,,41283
173,http://purl.obolibrary.org/obo/DOID_10883,herpangina,http://purl.obolibrary.org/obo/NCBITaxon_31704,Coxsackievirus A16,,,31704
174,http://purl.obolibrary.org/obo/DOID_10883,herpangina,http://purl.obolibrary.org/obo/NCBITaxon_12066,Coxsackievirus,,,12066
175,http://purl.obolibrary.org/obo/DOID_10883,herpangina,http://purl.obolibrary.org/obo/NCBITaxon_39054,Enterovirus A71,,,39054
176,http://purl.obolibrary.org/obo/DOID_0050197,Brazilian hemorrhagic fever,http://purl.obolibrary.org/obo/NCBITaxon_45709,Sabia mammarenavirus,,,45709
177,http://purl.obolibrary.org/obo/DOID_10844,Japanese encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11072,Japanese encephalitis virus,,,11072
178,http://purl.obolibrary.org/obo/DOID_8956,cowpox,http://purl.obolibrary.org/obo/NCBITaxon_10243,Cowpox virus,,,10243
179,http://purl.obolibrary.org/obo/DOID_2366,West Nile fever,http://purl.obolibrary.org/obo/NCBITaxon_11082,West Nile virus,,,11082
180,http://purl.obolibrary.org/obo/DOID_12365,malaria,http://purl.obolibrary.org/obo/NCBITaxon_5820,Plasmodium,,,5820
